"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放期別","股利發放頻率","現金股利","股票股利","合計股利","除息價","除息價年化現金殖利率","除權價","除權價年化股票殖利率","除權息年化合計殖利率","除息交易日","除權交易日","現金股利發放日"
="00943","兆豐電子高息等權","04/10","16.16","+0.19","+1.19","26M04","月","0.071","0","0.071","16.16","5.27","","0","5.27","'26/04/20","","'26/05/08"
="00944","野村趨勢動能高息","04/10","16.21","+0.29","+1.82","26M04","月","0.054","0","0.054","16.21","4","","0","4","'26/04/20","","'26/05/15"
"00945B","凱基美國非投等債","04/10","14.61","-0.01","-0.07","26M04","月","0.087","0","0.087","14.61","7.15","","0","7.15","'26/04/20","","'26/05/15"
="00946","群益科技高息成長","04/10","10.57","+0.14","+1.34","26M04","月","0.058","0","0.058","10.11","6.88","","0","6.88","'26/04/02","","'26/04/30"
="00947","台新臺灣IC設計","04/10","24.75","+0.53","+2.19","26Q2","季","0.12","0","0.12","24.75","1.94","","0","1.94","'26/04/17","","'26/05/08"
"00948B","中信優息投資級債","04/10","9.57","-0.01","-0.1","26M04","月","0.042","0","0.042","9.57","5.27","","0","5.27","'26/04/20","","'26/05/15"
="00949","復華日本龍頭","04/10","19.82","-0.04","-0.2","2025","年","0","0","0","","0","","0","0","","",""
"00950B","凱基A級公司債","04/10","14.26","-0.01","-0.07","26M04","月","0.065","0","0.065","14.24","5.48","","0","5.48","'26/04/01","","'26/04/27"
="00951","台新日本半導體","04/10","14.67","+0.46","+3.24","2025","年","0.16","0","0.16","11.04","1.45","","0","1.45","'25/11/17","","'25/12/05"
="00952","凱基台灣AI50","04/10","14.03","+0.32","+2.33","26M04","月","0.05","0","0.05","14.03","4.28","","0","4.28","'26/04/20","","'26/05/15"
"00953B","群益優選非投等債","04/10","9.68","0","0","26M04","月","0.061","0","0.061","9.69","7.55","","0","7.55","'26/04/02","","'26/04/30"
="00954","中信日本半導體","04/10","15.59","+0.45","+2.97","2025","年","0","0","0","","0","","0","0","","",""
="00955","中信日本商社","04/10","16.04","-0.2","-1.23","2025","年","0","0","0","","0","","0","0","","",""
="00956","中信日經高股息","04/10","12.55","-0.05","-0.4","26Q2","季","0.2","0","0.2","12.55","6.37","","0","6.37","'26/04/20","","'26/05/15"
"00957B","兆豐US優選投等債","04/10","13.67","-0.01","-0.07","26M04","月","0.063","0","0.063","13.67","5.53","","0","5.53","'26/04/20","","'26/05/08"
"00958B","永豐ESG銀行債15+","04/10","9.35","-0.01","-0.11","26M04","月","0.044","0","0.044","9.35","5.65","","0","5.65","'26/04/23","","'26/05/20"
"00959B","大華投等美債15Y+","04/10","9.44","-0.01","-0.11","26M04","月","0.048","0","0.048","9.43","6.11","","0","6.11","'26/04/01","","'26/04/24"
="00960","野村全球航運龍頭","04/10","17.78","-0.09","-0.5","26Q2","季","0.225","0","0.225","17.78","5.06","","0","5.06","'26/04/20","","'26/05/15"
="00961","FT臺灣永續高息","04/10","10.07","0","0","26M04","月","0.049","0","0.049","10.07","5.84","","0","5.84","'26/04/20","","'26/05/14"
